Iso3_code;Country;Region;Subregion;Indicator;Category;Unit of measurement;Source;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ALB;Albania;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by suicide;Counts;CTS;:;:;:;4;3;2;1;6;1;2;5;:
AND;Andorra;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by suicide;Counts;CTS;0;0;1;0;0;0;:;1;:;:;:;:
AUT;Austria;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by suicide;Counts;CTS;:;:;:;:;:;6;10;11;12;9;8;:
BEL;Belgium;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by suicide;Counts;CTS;:;:;:;:;18;16;:;13;16;12;15;:
BGR;Bulgaria;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by suicide;Counts;CTS;6;4;6;4;0;7;3;5;3;3;1;:
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by suicide;Counts;CTS/SDG;:;:;:;:;:;1;1;:;:;:;2;:
BLR;Belarus;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by suicide;Counts;CTS;:;:;4;2;3;:;:;:;:;:;:;:
CHE;Switzerland;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by suicide;Counts;CTS;6;6;9;2;9;10;5;7;6;8;2;:
CZE;Czechia;Europe;Eastern Europe;Mortality in prison;Deaths due to external causes: by suicide;Counts;CTS;11;9;15;7;13;13;14;10;14;11;16;:
DEU;Germany;Europe;Western Europe;Mortality in prison;Deaths due to external causes: by suicide;Counts;CTS;:;:;:;:;60;66;76;82;:;:;:;:
DNK;Denmark;Europe;Northern Europe;Mortality in prison;Deaths due to external causes: by suicide;Counts;CTS;2;5;4;3;2;2;8;4;5;9;4;:
ESP;Spain;Europe;Southern Europe;Mortality in prison;Deaths due to external causes: by suicide;Counts;CTS/SDG;:;:;:;:;27;23;23;27;33;43;51;35
