Iso3_code;Country;Region;Subregion;Indicator;Category;Unit of measurement;Source;2013;2014;2015;2016;2017;2018;2019;2020;2021
ALB;Albania;Europe;Southern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;9;16;17;23;25;21;:
AUT;Austria;Europe;Western Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;28;30;21;32;29;20;:
BGR;Bulgaria;Europe;Eastern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;36;45;31;29;46;49;:
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;6;:;:;:;20;:
CHE;Switzerland;Europe;Western Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;8;6;14;12;11;6;10;7;:
CZE;Czechia;Europe;Eastern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;30;29;27;27;32;24;:
DNK;Denmark;Europe;Northern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;2;2;2;3;5;3;2;:;:
ESP;Spain;Europe;Southern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS/SDG;:;:;94;92;89;110;101;105;141
EST;Estonia;Europe;Northern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;:;:;4;11;11;:
FIN;Finland;Europe;Northern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;3;4;1;2;0;1;:;4;:
FRA;France;Europe;Western Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;130;108;130;135;:;:;:;:;:
GBR_EW;United Kingdom (England and Wales);Europe;Northern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;131;145;147;207;191;162;:;:;:
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;1;:;:;1;:;:;:;:;:
GRC;Greece;Europe;Southern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;41;38;32;49;:;46;:
HRV;Croatia;Europe;Southern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;:;14;15;25;9;:
HUN;Hungary;Europe;Eastern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;53;70;65;59;66;:
ISL;Iceland;Europe;Northern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;:;:;:;1;:;:
ITA;Italy;Europe;Southern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS/SDG;:;:;:;64;78;100;90;99;:
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;3;5;2;:;6;:
LIE;Liechtenstein;Europe;Western Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;0;0;0;:;0;:
LTU;Lithuania;Europe;Northern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;34;31;28;23;27;25;16;18;:
LUX;Luxembourg;Europe;Western Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;2;2;1;:;:;:
LVA;Latvia;Europe;Northern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;12;8;19;13;24;:
MCO;Monaco;Europe;Western Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;0;:;:;:;:;:
MDA;Republic of Moldova;Europe;Eastern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;44;48;39;22;:;:;:
MLT;Malta;Europe;Southern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;:;1;3;2;4;:
MNE;Montenegro;Europe;Southern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;5;:;3;:;2;:
NOR;Norway;Europe;Northern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;:;:;:;2;0;:
POL;Poland;Europe;Eastern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;80;75;79;93;:;135;129;145;:
PRT;Portugal;Europe;Southern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;49;51;54;59;54;43;53;54;:
ROU;Romania;Europe;Eastern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;101;:;80;89;59;85;:
RUS;Russian Federation;Europe;Eastern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;3230;2805;2519;2268;1971;1918;:
SRB;Serbia;Europe;Southern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;55;34;49;35;46;48;56;73;:
SVK;Slovakia;Europe;Eastern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;24;19;12;:;26;:
SVN;Slovenia;Europe;Southern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;:;:;:;2;3;2;2;4;:
SWE;Sweden;Europe;Northern Europe;Mortality in prison;Deaths due to natural causes;Counts;CTS;7;8;4;7;7;12;6;4;:
