Iso3_code;Country;Region;Subregion;Indicator;Sex;Unit of measurement;Source;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ALB;Albania;Europe;Southern Europe;Persons held;Total;Counts;CTS/External;2561;2944;3464;3798;4555;4916;4667;4657;4659;4618;4998;5689;5981;6031;5674;5316;5045;4614;:
AND;Andorra;Europe;Southern Europe;Persons held;Total;Counts;External/WPB-ICPR/CTS;61;61;:;30;71;73;55;44;49;36;43;53;41;46;43;49;49;50;:
AUT;Austria;Europe;Western Europe;Persons held;Total;Counts;CTS;:;:;8956;9005;9012;8248;8708;8813;8954;8805;8862;8692;:;8619;8852;9163;9072;8488;:
BEL;Belgium;Europe;Western Europe;Persons held;Total;Counts;External/CTS;48434;42253;40878;44812;45695;43349;40186;39627;36652;28841;28471;29776;33329;35169;34356;32556;:;:;:
BGR;Bulgaria;Europe;Eastern Europe;Persons held;Total;Counts;CTS;:;9245;9375;9635;:;9858;:;10561;:;11212;12126;11769;10994;11071;10471;10261;10559;10381;:
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Persons held;Total;Counts;External/CTS;:;2405;:;2493;:;2660;:;2743;2757;2928;2898;2825;2730;2832;2820;4377;4482;4332;:
BLR;Belarus;Europe;Eastern Europe;Persons held;Total;Counts;External/CTS;10066;10871;11436;11058;10271;9408;9006;9379;9885;9493;8834;7870;7408;7345;6988;6651;6448;6251;:
CHE;Switzerland;Europe;Western Europe;Persons held;Total;Counts;External/CTS;2805;3029;3485;3833;4290;4734;4891;5165;5064;4741;4352;3763;3341;3108;3190;3217;3533;3531;:
CZE;Czechia;Europe;Eastern Europe;Persons held;Total;Counts;External/CTS;17277;18343;18937;18578;18901;20502;21734;21900;23170;22644;16645;18658;20866;22481;22159;21577;21048;19286;:
DEU;Germany;Europe;Western Europe;Persons held;Total;Counts;CTS;3641;3767;4041;3932;3624;3451;3721;3944;3947;3829;4091;3583;3203;3408;3418;3635;3920;4166;:
DNK;Denmark;Europe;Northern Europe;Persons held;Total;Counts;CTS;4576;4565;4410;4310;3456;3656;3555;3393;3400;3286;3112;3034;2823;2864;2723;2584;2487;2366;:
ESP;Spain;Europe;Southern Europe;Persons held;Total;Counts;External/CTS/SDG;13;:;10;12;:;12;9;8;8;8;10;11;10;8;6;:;:;:;:
EST;Estonia;Europe;Northern Europe;Persons held;Total;Counts;CTS;3641;3704;3867;3851;3625;3530;3589;3364;3268;3306;3295;3148;3135;3156;3082;2956;2945;2751;:
FIN;Finland;Europe;Northern Europe;Persons held;Total;Counts;CTS;55382;55355;55302;58402;61076;62252;60978;60544;64787;66572;67075;66270;66678;68432;68974;70059;70739;62673;:
FRA;France;Europe;Western Europe;Persons held;Total;Counts;External/CTS;80829;80933;80201;78063;75153;73793;72295;70827;69543;68533;66221;63228;63020;64291;65841;65762;63146;59585;:
FRO;Faroe Islands;Europe;Northern Europe;Persons held;Total;Counts;External/CTS;:;19;:;30;:;37;:;53;:;63;:;46;:;56;:;:;:;:;:
GBR_EW;United Kingdom (England and Wales);Europe;Northern Europe;Persons held;Total;Counts;CTS/SDG;8726;8722;9964;10370;11645;11736;11364;12349;12479;12475;12693;11798;9611;9560;10011;10654;10891;11379;:
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Persons held;Total;Counts;CTS/SDG;:;93;:;117;:;87;:;75;:;117;:;97;83.33;92;110;100;:;:;:
GBR_S;United Kingdom (Scotland);Europe;Northern Europe;Persons held;Total;Counts;External/CTS/SDG;:;:;:;:;:;:;0;0;0;1;0;0;1;:;:;:;:;:;:
GGY;Guernsey;Europe;Northern Europe;Persons held;Total;Counts;External;16860;16546;15755;14822;14353;14743;15432;16328;17210;17179;17841;17890;17449;17658;17343;17251;16664;16726;:
GIB;Gibraltar;Europe;Southern Europe;Persons held;Total;Counts;External;109;115;119;119;115;140;148;167;150;153;147;142;139;116;137;136;158;141;:
GRC;Greece;Europe;Southern Europe;Persons held;Total;Counts;External/CTS;3234;3162;3022;3080;3253;3484;3868;4318;4216;4287;4088;3777;3722;3718;3680;3962;4017;3810;:
HRV;Croatia;Europe;Southern Europe;Persons held;Total;Counts;CTS;:;51;:;76;:;107;:;97;:;81;:;91;:;76;106;106;:;:;:
HUN;Hungary;Europe;Eastern Europe;Persons held;Total;Counts;CTS;54993;56903;60415;39794;49697;59284;65998;69263;68325;67102;63848;54745;53410;55978;59038;61131;62232;54605;:
