Iso3_code;Country;Region;Subregion;Indicator;Dimension;Category;Unit of measurement;Source;2013;2014;2015;2016;2017;2018;2019;2020;2021
ALB;Albania;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;460;361;236;253;285;:
AND;Andorra;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;9;3;3;8;8;3;:
AUT;Austria;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;79;87;69;69;104;:
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;:;:;118;53;98;:
CZE;Czechia;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;0;:;:;:;:;:
ESP;Spain;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS/SDG;:;:;:;1510;1934;2077;1983;2135;1723
FIN;Finland;Europe;Northern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;48;56;50;52;58;42;44;73;:
FRA;France;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;6432;6738;6854;7152;6376;:
GBR_NI;United Kingdom (Northern Ireland);Europe;Northern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;41;47;26;23;30;:;62;:
HRV;Croatia;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;:;70;89;103;129;:
HUN;Hungary;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;:;837;764;1547;1743;:
ITA;Italy;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;1650;1382;1350;1204;1497;1375;1518;1768;:
KOS;Kosovo under UNSCR 1244;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;:;56;22;30;146;:
LIE;Liechtenstein;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;6;0;12;1;0;:
LUX;Luxembourg;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;:;58;51;:;:;:
MCO;Monaco;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;0;:;:;:;:;:
MDA;Republic of Moldova;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;83;22;25;26;:;:;:
MKD;North Macedonia;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;70;79;:;:;:;:
MLT;Malta;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;45;44;42;53;86;:
RUS;Russian Federation;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;433;487;454;641;519;424;1041;:
SVK;Slovakia;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;:;136;165;154;209;:
SWE;Sweden;Europe;Northern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;:;:;:;100;77;:
UKR;Ukraine;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced for more than 12 months;Counts;CTS;:;:;:;:;1930;:;:;:;:
