Iso3_code;Country;Region;Subregion;Indicator;Dimension;Category;Unit of measurement;Source;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ALB;Albania;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;490;623;872;941;1765;1947;1628;1885;1850;1756;1975;2924;2945;2980;2374;2220;2264;2325;:
AND;Andorra;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External/WPB-ICPR/CTS;:;:;15;14;38;33;24;26;26;17;30;41;17;22;21;27;21;23;:
AUT;Austria;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/WPB-ICPR/External;:;:;2082;2116;1964;1883;1994;1909;1826;1791;1809;1834;2059;1766;1938;1874;1813;1571;:
BEL;Belgium;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External/WPB-ICPR;:;:;3550;:;:;:;:;3712;:;3600;:;:;3019;:;3586;3586;:;:;:
BGR;Bulgaria;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;1861;1988;2080;1354;952;794;890;1059;1099;927;774;669;689;587;639;609;623;677;:
BIH;Bosnia and Herzegovina;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External/CTS;:;:;433;:;:;:;:;491;402;354;338;343;411;435;435;1229;1426;1172;:
BLR;Belarus;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External;10264;7768;7105;7566;6017;4396;4922;4374;3356;2790;3199;3600;3962;3570;3008;2986;:;:;:
CHE;Switzerland;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External/CTS;2238;2479;2432;2341;2195;2350;2521;2566;2406;2753;2907;2770;2756;2770;2756;2969;2908;2902;:
CZE;Czechia;Europe;Eastern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External/CTS;3409;3269;2860;2399;2254;2402;2360;2443;2613;2183;2308;2185;1960;1907;1809;1816;1798;1570;:
DEU;Germany;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;20149;19060;18151;15837;14552;13713;13601;12911;12899;12903;12943;12981;13713;14671;15786;15709;14576;13796;:
DNK;Denmark;Europe;Northern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;1060;1089;1044;1098;1019;1183;1426;1409;1381;1092;1226;1066;930;923;1275;1236;1351;1554;:
ESP;Spain;Europe;Southern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/SDG;12276;13112;13720;15065;16137;17849;15580;13837;12148;10938;9292;8595;7684;7996;9091;9951;10182;9272;8849
EST;Estonia;Europe;Northern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;1355;1096;1024;1045;916;990;836;744;772;754;684;713;699;:;570;530;493;473;:
FIN;Finland;Europe;Northern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External;478;494;516;439;501;573;574;568;585;631;554;629;580;604;615;529;632;646;:
FRA;France;Europe;Western Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External/CTS;:;:;18483;18483;16797;15933;15395;15702;16279;16454;16622;16549;18158;19498;19815;20343;18327;17856;:
FRO;Faroe Islands;Europe;Northern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;External;5;:;1;:;:;:;3;1;5;4;3;:;:;2.144;:;:;:;:;:
GBR_EW;United Kingdom (England and Wales);Europe;Northern Europe;Persons held unsentenced;by length of detention;Unsentenced: Total;Counts;CTS/External/SDG;7896;7716;8084;8064;8387;8750;13276;8487;8299;7671;7743;8618;8271;6278;6601;6307;5996;7956;8441
