freq,indic_cr,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 
A,PRIS_OFF_CAP,P_HTHAB,AL	190.03 	189.70 	189.63 	217.26 	213.32 	216.10 
A,PRIS_OFF_CAP,P_HTHAB,AT	102.31 	101.43 	99.69 	100.24 	100.27 	99.64 
A,PRIS_OFF_CAP,P_HTHAB,BA	Not Given 	Not Given 	Not Given 	Not Given 	Not Given 	Not Given 
A,PRIS_OFF_CAP,P_HTHAB,BE	88.56 	Not Given 	81.32 	Not Given 	80.58 	81.17 
A,PRIS_OFF_CAP,P_HTHAB,BG	102.86 	118.69 	119.56 	116.89 	115.79 	117.40 
A,PRIS_OFF_CAP,P_HTHAB,CH	88.91 	89.86 	88.95 	87.15 	86.29 	85.95 
A,PRIS_OFF_CAP,P_HTHAB,CY	56.67 	Not Given 	61.77 	61.09 	64.62 	Not Given 
A,PRIS_OFF_CAP,P_HTHAB,CZ	197.20 	196.65 	Not Given 	198.47 	188.70 	186.45 
A,PRIS_OFF_CAP,P_HTHAB,DE	91.03 	89.60 	89.19 	89.85 	87.89 	87.00 
A,PRIS_OFF_CAP,P_HTHAB,DK	66.45 	61.71 	62.48 	65.64 	67.98 	70.33 
A,PRIS_OFF_CAP,P_HTHAB,EE	Not Given 	221.51 	221.57 	252.74 	247.43 	246.66 
A,PRIS_OFF_CAP,P_HTHAB,EL	91.05 	91.02 	92.26 	92.49 	92.64 	94.93 
A,PRIS_OFF_CAP,P_HTHAB,ES	Not Given 	138.12 	137.79 	137.67 	136.85 	136.13 
A,PRIS_OFF_CAP,P_HTHAB,FI	56.27 	53.92 	53.10 	53.96 	52.16 	54.24 
A,PRIS_OFF_CAP,P_HTHAB,FR	88.08 	88.06 	89.46 	89.74 	90.86 	89.99 
A,PRIS_OFF_CAP,P_HTHAB,HR	95.19 	Not Given 	93.88 	94.99 	96.14 	96.57 
A,PRIS_OFF_CAP,P_HTHAB,HU	134.02 	140.11 	143.00 	144.70 	152.12 	162.80 
A,PRIS_OFF_CAP,P_HTHAB,IE	101.43 	Not Given 	Not Given 	Not Given 	Not Given 	Not Given 
A,PRIS_OFF_CAP,P_HTHAB,IS	44.97 	42.10 	Not Given 	Not Given 	Not Given 	Not Given 
A,PRIS_OFF_CAP,P_HTHAB,IT	82.95 	83.75 	84.30 	84.55 	85.68 	85.72 
A,PRIS_OFF_CAP,P_HTHAB,LI	53.52 	53.16 	52.90 	52.47 	52.11 	51.62 
A,PRIS_OFF_CAP,P_HTHAB,LT	321.74 	277.34 	281.29 	285.20 	258.97 	258.98 
A,PRIS_OFF_CAP,P_HTHAB,LU	126.30 	123.38 	120.37 	118.11 	115.82 	113.56 
A,PRIS_OFF_CAP,P_HTHAB,LV	294.65 	223.93 	302.03 	273.32 	251.15 	252.77 
A,PRIS_OFF_CAP,P_HTHAB,ME	Not Given 	220.98 	216.10 	216.11 	214.25 	214.35 
A,PRIS_OFF_CAP,P_HTHAB,MK	Not Given 	Not Given 	121.47 	Not Given 	Not Given 	Not Given 
A,PRIS_OFF_CAP,P_HTHAB,MT	141.46 	149.86 	146.64 	184.57 	192.88 	185.01 
A,PRIS_OFF_CAP,P_HTHAB,NL	84.61 	Not Given 	70.69 	72.03 	67.20 	69.49 
A,PRIS_OFF_CAP,P_HTHAB,NO	74.52 	74.46 	73.88 	73.36 	68.43 	71.09 
A,PRIS_OFF_CAP,P_HTHAB,PL	234.61 	234.88 	228.76 	226.30 	225.82 	226.75 
A,PRIS_OFF_CAP,P_HTHAB,PT	121.36 	121.84 	123.13 	125.68 	125.86 	125.52 
A,PRIS_OFF_CAP,P_HTHAB,RO	138.29 	141.13 	103.89 	99.39 	100.55 	101.05 
A,PRIS_OFF_CAP,P_HTHAB,RS	132.96 	138.52 	140.51 	147.21 	148.24 	159.95 
A,PRIS_OFF_CAP,P_HTHAB,SE	64.24 	63.47 	61.50 	64.61 	65.07 	67.38 
A,PRIS_OFF_CAP,P_HTHAB,SI	66.85 	64.04 	64.81 	64.78 	64.35 	63.32 
A,PRIS_OFF_CAP,P_HTHAB,SK	206.30 	203.33 	201.29 	211.26 	213.29 	213.00 
A,PRIS_OFF_CAP,P_HTHAB,TR	228.63 	257.39 	261.58 	264.65 	292.33 	294.87 
A,PRIS_OFF_CAP,P_HTHAB,UKC-L	154.52 	153.39 	151.72 	150.08 	Not Given 	Not Given 
A,PRIS_OFF_CAP,P_HTHAB,UKN	97.07 	Not Given 	Not Given 	98.88 	Not Given 	Not Given 
A,PRIS_OFF_CAP,P_HTHAB,XK	Not Given 	129.26 	128.40 	87.13 	144.24 	143.20 
