indic_cr;geo;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 ;2018 ;2019 ;2020 
PRIS_ACT_CAP;AL;164.53 ;: ;: ;196.44 ;206.79 ;208.97 ;197.25 ;185.21 ;176.25 ;162.12 
PRIS_ACT_CAP;AT;104.71 ;104.72 ;104.85 ;102.18 ;101.03 ;99.18 ;100.90 ;103.86 ;102.41 ;95.36 
PRIS_ACT_CAP;BA;71.74 ;: ;: ;: ;: ;: ;: ;: ;: ;: 
PRIS_ACT_CAP;BE;100.36 ;100.79 ;105.88 ;: ;97.84 ;: ;92.24 ;90.02 ;92.17 ;90.09 
PRIS_ACT_CAP;BG;134.14 ;129.56 ;121.27 ;108.62 ;102.86 ;102.67 ;98.40 ;94.34 ;92.11 ;89.92 
PRIS_ACT_CAP;CH;71.49 ;76.71 ;82.75 ;80.09 ;78.88 ;78.14 ;77.96 ;77.82 ;76.87 ;71.84 
PRIS_ACT_CAP;CY;74.07 ;78.65 ;63.87 ;62.00 ;64.58 ;69.08 ;69.26 ;71.62 ;86.65 ;: 
PRIS_ACT_CAP;CZ;220.95 ;215.55 ;158.28 ;177.49 ;198.00 ;213.01 ;209.47 ;203.36 ;197.64 ;180.35 
PRIS_ACT_CAP;DE;86.69 ;85.32 ;82.24 ;78.28 ;77.61 ;78.24 ;79.79 ;79.43 ;76.06 ;71.65 
PRIS_ACT_CAP;DK;70.98 ;68.61 ;73.02 ;63.67 ;56.59 ;59.71 ;59.46 ;62.88 ;67.52 ;71.55 
PRIS_ACT_CAP;EE;255.70 ;247.96 ;235.73 ;230.58 ;214.70 ;217.64 ;206.97 ;195.89 ;187.72 ;178.03 
PRIS_ACT_CAP;EL;112.19 ;112.53 ;115.35 ;107.97 ;88.52 ;88.65 ;92.97 ;99.19 ;101.55 ;106.16 
PRIS_ACT_CAP;ES;151.01 ;146.52 ;142.88 ;139.78 ;132.65 ;128.31 ;126.40 ;126.20 ;124.67 ;116.58 
PRIS_ACT_CAP;FI;60.80 ;61.21 ;60.72 ;57.75 ;57.29 ;57.51 ;56.00 ;53.62 ;53.37 ;49.79 
PRIS_ACT_CAP;FR;99.70 ;101.98 ;102.25 ;100.50 ;100.29 ;102.50 ;103.25 ;104.69 ;105.30 ;93.10 
PRIS_ACT_CAP;HR;118.51 ;110.88 ;102.11 ;88.61 ;79.07 ;74.16 ;76.79 ;78.36 ;86.67 ;87.01 
PRIS_ACT_CAP;HU;172.35 ;172.97 ;180.05 ;181.12 ;177.05 ;179.62 ;177.01 ;176.42 ;170.51 ;171.21 
PRIS_ACT_CAP;IE;92.24 ;93.55 ;89.04 ;82.01 ;81.12 ;78.67 ;76.92 ;82.02 ;81.91 ;76.75 
PRIS_ACT_CAP;IS;47.10 ;47.88 ;47.23 ;47.29 ;42.24 ;34.88 ;40.49 ;39.03 ;44.26 ;38.72 
PRIS_ACT_CAP;IT;115.09 ;112.98 ;106.97 ;90.07 ;87.85 ;92.27 ;97.44 ;101.07 ;104.04 ;91.56 
