freq,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,NR,AL	36 	39 	38 	36 	35 	36 	35 
A,NR,AT	76 	75 	75 	76 	77 	76 	74 
A,NR,BE	77 	77 	75 	75 	75 	76 	73 
A,NR,BG	41 	41 	43 	42 	43 	44 	42 
A,NR,CH	86 	86 	85 	85 	85 	85 	84 
A,NR,CY	61 	55 	57 	59 	58 	57 	53 
A,NR,CZ	56 	55 	57 	59 	56 	54 	54 
A,NR,DE	81 	81 	81 	80 	80 	80 	80 
A,NR,DK	91 	90 	88 	88 	87 	88 	88 
A,NR,EE	70 	70 	71 	73 	74 	75 	74 
A,NR,EL	46 	44 	48 	45 	48 	50 	49 
A,NR,ES	58 	58 	57 	58 	62 	62 	61 
A,NR,FI	90 	89 	85 	85 	86 	85 	88 
A,NR,FR	70 	69 	70 	72 	69 	69 	71 
A,NR,HR	51 	49 	49 	48 	47 	47 	47 
A,NR,HU	51 	48 	45 	46 	44 	44 	43 
A,NR,IE	75 	73 	74 	73 	74 	72 	74 
A,NR,IS	79 	78 	77 	76 	78 	75 	74 
A,NR,IT	44 	47 	50 	52 	53 	53 	56 
A,NR,JP	75 	72 	73 	73 	73 	74 	73 
A,NR,KR	54 	53 	54 	57 	59 	61 	62 
A,NR,LT	59 	59 	59 	59 	60 	60 	61 
A,NR,LU	85 	81 	82 	81 	80 	80 	81 
A,NR,LV	56 	57 	58 	58 	56 	57 	59 
A,NR,ME	44 	45 	46 	45 	45 	45 	46 
A,NR,MK	42 	37 	35 	37 	35 	35 	39 
A,NR,MT	60 	55 	56 	54 	54 	53 	54 
A,NR,NL	84 	83 	82 	82 	82 	82 	82 
A,NR,NO	88 	85 	85 	84 	84 	84 	85 
A,NR,PL	63 	62 	60 	60 	58 	56 	56 
A,NR,PT	64 	62 	63 	64 	62 	61 	62 
A,NR,RO	46 	48 	48 	47 	44 	44 	45 
A,NR,RS	40 	42 	41 	39 	39 	38 	38 
A,NR,RU	29 	29 	29 	28 	28 	30 	29 
A,NR,SE	89 	88 	84 	85 	85 	85 	85 
A,NR,SI	60 	61 	61 	60 	60 	60 	57 
A,NR,SK	51 	51 	50 	50 	50 	49 	52 
A,NR,TR	42 	41 	40 	41 	39 	40 	38 
A,NR,UK	81 	81 	82 	80 	77 	77 	78 
A,NR,US	76 	74 	75 	71 	69 	67 	67 




