unit;sector;cofog99;geo;2015 ;2016 ;2017 ;2018 ;2019 ;2020 ;2021 
PC_GDP;S13;GF03;AT;1.3 ;1.3 ;1.4 ;1.4 ;1.3 ;1.4 ;1.4 
PC_GDP;S13;GF03;BE;1.7 ;1.7 ;1.7 ;1.7 ;1.7 ;1.8 ;1.8 
PC_GDP;S13;GF03;BG;2.8 ;2.3 ;2.5 ;2.5 ;2.7 ;2.7 ;2.7 
PC_GDP;S13;GF03;CH;1.7 ;1.6 ;1.7 ;1.6 ;1.7 ;1.7 ;1.7 
PC_GDP;S13;GF03;CY;1.7 ;1.6 ;1.6 ;1.7 ;1.6 ;1.8 ;1.7 
PC_GDP;S13;GF03;CZ;1.8 ;1.7 ;1.7 ;1.9 ;1.9 ;2.1 ;2.0 
PC_GDP;S13;GF03;DE;1.5 ;1.5 ;1.6 ;1.6 ;1.6 p;1.7 p;1.7 p
PC_GDP;S13;GF03;DK;1.0 ;1.0 ;0.9 ;0.9 ;1.0 ;1.0 ;1.0 
PC_GDP;S13;GF03;EA19;1.7 ;1.7 ;1.6 ;1.7 ;1.7 ;1.8 ;1.7 
PC_GDP;S13;GF03;EA20;1.7 ;1.7 ;1.6 ;1.7 ;1.7 ;1.8 ;1.7 
PC_GDP;S13;GF03;EE;1.8 ;1.9 ;1.9 ;1.9 ;1.8 ;2.0 ;1.8 
PC_GDP;S13;GF03;EL;2.1 ;2.2 ;2.1 ;2.3 ;2.1 ;2.4 ;2.2 
PC_GDP;S13;GF03;ES;2.0 ;1.9 ;1.8 ;1.8 ;1.8 ;2.1 ;2.0 p
PC_GDP;S13;GF03;EU27_2020;1.7 ;1.7 ;1.7 ;1.7 ;1.7 ;1.8 ;1.7 
PC_GDP;S13;GF03;FI;1.2 b;1.2 ;1.1 ;1.1 ;1.2 ;1.2 ;1.2 
PC_GDP;S13;GF03;FR;1.6 ;1.6 ;1.6 ;1.6 ;1.6 ;1.8 p;1.7 p
PC_GDP;S13;GF03;HR;2.2 ;2.1 ;2.0 ;2.1 ;2.2 ;2.5 ;2.4 
PC_GDP;S13;GF03;HU;2.0 ;2.3 ;2.3 ;2.2 ;2.1 ;2.1 ;1.8 
PC_GDP;S13;GF03;IE;1.1 ;1.1 ;1.0 ;1.0 ;0.9 ;0.9 ;0.8 
PC_GDP;S13;GF03;IS;1.5 ;1.3 ;1.5 ;1.4 ;1.5 ;1.6 ;1.6 
PC_GDP;S13;GF03;IT;1.9 ;1.8 ;1.8 ;1.8 ;1.8 ;2.0 ;1.9 
PC_GDP;S13;GF03;LT;1.6 ;1.5 ;1.5 ;1.4 ;1.4 ;1.5 ;1.3 
PC_GDP;S13;GF03;LU;1.0 ;1.0 ;1.0 ;1.1 ;1.2 ;1.3 ;1.2 
PC_GDP;S13;GF03;LV;2.0 ;2.1 ;2.3 ;2.2 ;2.2 ;2.2 ;2.2 
PC_GDP;S13;GF03;MT;1.1 ;1.1 ;1.1 ;1.1 ;1.2 ;1.5 ;1.5 
PC_GDP;S13;GF03;NL;1.9 ;1.9 ;1.8 ;1.8 ;1.8 ;2.0 ;2.0 
PC_GDP;S13;GF03;NO;1.1 ;1.2 ;1.1 ;1.1 ;1.2 ;1.3 ;1.1 
PC_GDP;S13;GF03;PL;2.2 ;2.2 ;2.1 ;2.1 ;2.1 ;2.3 ;2.2 
PC_GDP;S13;GF03;PT;1.9 ;1.8 ;1.7 ;1.7 ;1.6 ;1.9 ;1.8 p
PC_GDP;S13;GF03;RO;2.3 ;2.1 ;2.0 ;2.2 ;2.2 ;2.5 ;2.3 
PC_GDP;S13;GF03;SE;1.3 ;1.3 ;1.3 ;1.3 ;1.3 ;1.4 ;1.3 
PC_GDP;S13;GF03;SI;1.6 ;1.7 ;1.6 ;1.5 ;1.6 ;1.7 ;1.8 
PC_GDP;S13;GF03;SK;2.5 ;2.4 ;2.1 ;2.2 ;2.3 ;2.4 ;2.3 
PC_GDP;S13;GF0301;AT;0.7 ;0.7 ;0.7 ;0.7 ;0.7 ;0.7 ;0.7 
PC_GDP;S13;GF0301;BE;1.0 ;1.0 ;1.0 ;1.0 ;1.0 ;1.1 ;1.0 
PC_GDP;S13;GF0301;BG;1.3 ;1.1 ;1.2 ;1.2 ;1.3 ;1.3 ;1.3 
PC_GDP;S13;GF0301;CH;0.7 ;0.7 ;0.7 ;0.7 ;0.7 ;0.7 ;0.7 
PC_GDP;S13;GF0301;CY;1.3 ;1.3 ;1.3 ;1.3 ;1.3 ;1.4 ;1.3 
PC_GDP;S13;GF0301;CZ;0.9 ;0.9 ;0.9 ;0.9 ;1.0 ;1.0 ;1.0 
PC_GDP;S13;GF0301;DE;0.7 ;0.7 ;0.8 ;0.8 ;0.8 p;0.8 p;0.8 p
PC_GDP;S13;GF0301;DK;0.5 ;0.5 ;0.5 ;0.5 ;0.6 ;0.6 ;0.6 
PC_GDP;S13;GF0301;EA19;0.9 ;0.9 ;0.9 ;0.9 ;0.9 ;1.0 ;0.9 
PC_GDP;S13;GF0301;EA20;0.9 ;0.9 ;0.9 ;0.9 ;0.9 ;1.0 ;0.9 
PC_GDP;S13;GF0301;EE;1.0 ;1.0 ;1.0 ;1.0 ;0.9 ;1.1 ;1.0 
PC_GDP;S13;GF0301;EL;1.4 ;1.4 ;1.4 ;1.5 ;1.4 ;1.5 ;1.4 
PC_GDP;S13;GF0301;ES;1.3 ;1.2 ;1.2 ;1.1 ;1.1 ;1.3 ;1.3 p
PC_GDP;S13;GF0301;EU27_2020;0.9 ;0.9 ;0.9 ;0.9 ;0.9 ;1.0 ;0.9 
PC_GDP;S13;GF0301;FI;0.5 b;0.5 ;0.5 ;0.5 ;0.5 ;0.5 ;0.5 
PC_GDP;S13;GF0301;FR;0.9 ;0.9 ;0.9 ;0.9 ;0.9 ;1.0 p;0.9 p
PC_GDP;S13;GF0301;HR;1.2 ;1.2 ;1.1 ;1.3 ;1.3 ;1.6 ;1.4 
PC_GDP;S13;GF0301;HU;1.2 ;1.3 ;1.4 ;1.4 ;1.3 ;1.2 ;1.1 
PC_GDP;S13;GF0301;IE;0.6 ;0.6 ;0.6 ;0.6 ;0.5 ;0.5 ;0.5 
PC_GDP;S13;GF0301;IS;0.7 ;0.7 ;0.8 ;0.8 ;0.8 ;0.9 ;1.0 
PC_GDP;S13;GF0301;IT;1.1 ;1.1 ;1.1 ;1.1 ;1.1 ;1.2 ;1.1 
PC_GDP;S13;GF0301;LT;0.6 ;0.5 ;0.5 ;0.5 ;0.5 ;0.5 ;0.4 
PC_GDP;S13;GF0301;LU;0.5 ;0.4 ;0.5 ;0.5 ;0.5 ;0.5 ;0.5 
PC_GDP;S13;GF0301;LV;1.1 ;1.2 ;1.3 ;1.2 ;1.2 ;1.2 ;1.1 
PC_GDP;S13;GF0301;MT;0.7 ;0.6 ;0.6 ;0.7 ;0.7 ;0.8 ;0.8 
PC_GDP;S13;GF0301;NL;0.8 ;0.8 ;0.8 ;0.9 ;0.9 ;0.9 ;0.9 
PC_GDP;S13;GF0301;NO;0.5 ;0.6 ;0.6 ;0.6 ;0.6 ;0.6 ;0.5 
PC_GDP;S13;GF0301;PL;1.2 ;1.1 ;1.1 ;1.1 ;1.1 ;1.1 ;1.1 
PC_GDP;S13;GF0301;PT;1.1 ;1.0 ;1.0 ;1.0 ;1.0 ;1.1 ;1.0 p
PC_GDP;S13;GF0301;RO;1.1 ;1.0 ;0.9 ;1.1 ;1.2 ;1.4 ;1.2 
PC_GDP;S13;GF0301;SE;0.6 ;0.6 ;0.6 ;0.6 ;0.6 ;0.7 ;0.7 
PC_GDP;S13;GF0301;SI;0.8 ;0.9 ;0.8 ;0.8 ;0.8 ;0.9 ;0.9 
PC_GDP;S13;GF0301;SK;0.9 ;1.1 ;1.0 ;1.0 ;1.0 ;1.1 ;1.0 
PC_GDP;S13;GF0303;AT;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0303;BE;0.2 ;0.3 ;0.3 ;0.3 ;0.2 ;0.3 ;0.3 
PC_GDP;S13;GF0303;BG;0.7 ;0.6 ;0.6 ;0.6 ;0.7 ;0.7 ;0.7 
PC_GDP;S13;GF0303;CH;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0303;CY;0.1 ;0.1 ;0.1 ;0.2 ;0.1 ;0.2 ;0.1 
PC_GDP;S13;GF0303;CZ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0303;DE;0.4 ;0.4 ;0.4 ;0.4 ;0.4 p;0.4 p;0.4 p
PC_GDP;S13;GF0303;DK;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0303;EA19;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0303;EA20;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0303;EE;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0303;EL;0.3 ;0.3 ;0.3 ;0.4 ;0.4 ;0.4 ;0.4 
PC_GDP;S13;GF0303;ES;0.4 ;0.3 ;0.3 ;0.3 ;0.3 ;0.4 ;0.4 p
PC_GDP;S13;GF0303;EU27_2020;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0303;FI;0.2 ;0.2 ;0.2 ;0.2 ;0.3 ;0.2 ;0.2 
PC_GDP;S13;GF0303;FR;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 p;0.3 p
PC_GDP;S13;GF0303;HR;0.5 ;0.5 ;0.4 ;0.4 ;0.5 ;0.5 ;0.5 
PC_GDP;S13;GF0303;HU;0.4 ;0.4 ;0.4 ;0.4 ;0.4 ;0.4 ;0.4 
PC_GDP;S13;GF0303;IE;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0303;IS;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0303;IT;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.4 ;0.3 
PC_GDP;S13;GF0303;LT;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.2 
PC_GDP;S13;GF0303;LU;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 ;0.2 
PC_GDP;S13;GF0303;LV;0.4 ;0.4 ;0.4 ;0.4 ;0.4 ;0.5 ;0.5 
PC_GDP;S13;GF0303;MT;0.2 ;0.3 ;0.2 ;0.2 ;0.3 ;0.3 ;0.4 
PC_GDP;S13;GF0303;NL;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0303;NO;0.2 ;0.2 ;0.2 ;0.1 ;0.2 ;0.2 ;0.1 
PC_GDP;S13;GF0303;PL;0.5 ;0.5 ;0.5 ;0.5 ;0.5 ;0.6 ;0.5 
PC_GDP;S13;GF0303;PT;0.4 ;0.3 ;0.3 ;0.3 ;0.3 ;0.4 ;0.3 p
PC_GDP;S13;GF0303;RO;0.4 ;0.4 ;0.5 ;0.4 ;0.4 ;0.4 ;0.4 
PC_GDP;S13;GF0303;SE;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0303;SI;0.5 ;0.5 ;0.5 ;0.5 ;0.5 ;0.5 ;0.5 
PC_GDP;S13;GF0303;SK;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 ;0.3 
PC_GDP;S13;GF0304;AT;0.1 ;0.1 ;0.1 ;0.1 ;0.1 ;0.2 ;0.1 
