DATAFLOW,LAST UPDATE,freq,indic_cr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AL,2011,155.98,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AL,2014,158.04,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AL,2015,190.03,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AL,2016,189.70,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AL,2017,189.63,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AL,2018,217.26,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AL,2019,213.32,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AL,2020,216.10,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AT,2011,104.75,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AT,2012,102.89,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AT,2013,102.18,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AT,2014,101.87,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AT,2015,102.31,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AT,2016,101.43,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AT,2017,99.69,
ESTAT:CRIM_PRIS_CAP$DEFAULTVIEW(1.0),08/06/22 11:00:00,A,PRIS_OFF_CAP,P_HTHAB,AT,2018,100.24,
