DATAFLOW,LAST UPDATE,freq,lev_perc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,AT,2016,13,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,AT,2017,14,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,AT,2018,7,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,AT,2019,8,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,AT,2020,7,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,AT,2021,7,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,AT,2022,8,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BE,2016,19,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BE,2017,21,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BE,2018,18,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BE,2019,17,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BE,2020,19,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BE,2021,18,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BE,2022,23,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BG,2016,35,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BG,2017,37,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BG,2018,31,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BG,2019,35,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BG,2020,31,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BG,2021,33,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,BG,2022,30,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CY,2016,19,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CY,2017,14,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CY,2018,18,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CY,2019,15,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CY,2020,20,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CY,2021,21,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CY,2022,25,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CZ,2016,32,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CZ,2017,31,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CZ,2018,28,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CZ,2019,27,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CZ,2020,25,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CZ,2021,27,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,CZ,2022,26,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DE,2016,13,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DE,2017,12,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DE,2018,14,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DE,2019,15,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DE,2020,11,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DE,2021,11,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DE,2022,8,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DK,2016,6,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DK,2017,5,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DK,2018,7,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DK,2019,5,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DK,2020,6,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DK,2021,8,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,DK,2022,6,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EE,2016,12,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EE,2017,12,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EE,2018,11,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EE,2019,12,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EE,2020,12,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EE,2021,8,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EE,2022,14,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2016,26,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2017,25,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2018,22,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2019,24,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2020,24,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2021,23,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EL,2022,28,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2016,38,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2017,39,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2018,32,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2019,37,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2020,34,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2021,32,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,ES,2022,35,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2016,26,e
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2017,25,e
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2018,23,e
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2019,24,e
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2020,23,e
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2021,23,b
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU27_2020,2022,23,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU28,2016,24,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU28,2017,23,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU28,2018,22,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,EU28,2019,22,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2016,10,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2017,11,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2018,9,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2019,9,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2020,7,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2021,11,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FI,2022,7,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FR,2016,29,
ESTAT:SDG_16_40(1.0),06/12/22 11:00:00,A,FBAD,PC,FR,2017,26,
