DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2000,75.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2001,80.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2002,81.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2003,85.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2004,87.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2005,84.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2006,85.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2007,87.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2008,93.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2009,99.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2010,98.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2011,100.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2012,104.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2013,105.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2014,112.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2015,117.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2016,116.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2017,119.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2018,120.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2019,121.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2020,121.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,AT,2021,125.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2001,68.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2002,77.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2003,80.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2004,80.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2005,82.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2006,90.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2007,86.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2008,94.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2009,91.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2010,95.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2011,95.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2012,105.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2013,100.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2014,96.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2015,91.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2016,100.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2017,100.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2018,101.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2019,102.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2020,104.1,p
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BE,2021,114.2,p
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2000,6.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2001,7.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2002,8.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2003,11.2,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2004,14.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2005,17.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2006,22.4,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2007,31.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2008,34.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2009,33.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2010,27.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2011,34.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2012,33.9,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2013,36.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2014,39.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2015,42.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2016,42.1,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2017,46.8,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2018,48.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2019,59.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2020,63.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,BG,2021,73.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2000,102.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2001,107.3,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2002,114.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2003,115.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2004,119.0,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2005,123.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2006,123.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2007,122.6,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2008,121.5,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2009,130.7,
ESTAT:SDG_16_30(1.0),24/02/23 23:00:00,A,EUR_HAB,CH,2010,146.6,
